cheeses_ID,wedding_ID,MAX_SCORE,MAX_MATCH_PERCENTAGE
ADL Brick Cheese,port - Gouveio,21,0.6
ADL Brick Cheese,port - Malvasia Fina,21,0.6
ADL Brick Cheese,port - Sousão,18,0.51
ADL Brick Cheese,port - Tempranillo,27,0.77
ADL Brick Cheese,port - Tinta Amarela,27,0.77
ADL Brick Cheese,port - Tinta Barroca,18,0.51
ADL Brick Cheese,port - Tinta Cão,18,0.51
ADL Brick Cheese,port - Touriga Franca,24,0.69
ADL Brick Cheese,port - Touriga Nacional,18,0.51
ADL Brick Cheese,port - Viosinho,21,0.6
ADL Brick Cheese,red - Cabernet Sauvignon,27,0.77
ADL Brick Cheese,red - Carménère,27,0.77
ADL Brick Cheese,red - Malbec,18,0.51
ADL Brick Cheese,red - Merlot,27,0.77
ADL Brick Cheese,red - Pinot Noir,27,0.77
ADL Brick Cheese,red - Shiraz,24,0.69
ADL Brick Cheese,red - Tempranillo,18,0.51
ADL Brick Cheese,rosé - Cinsault,25,0.71
ADL Brick Cheese,rosé - Grenache,27,0.77
ADL Brick Cheese,rosé - Malbec,18,0.51
ADL Brick Cheese,rosé - Merlot,27,0.77
ADL Brick Cheese,rosé - Mourvèdre,19,0.54
ADL Brick Cheese,rosé - Pinot Noir,27,0.77
ADL Brick Cheese,rosé - Sangiovese,27,0.77
ADL Brick Cheese,rosé - Shiraz,27,0.77
ADL Brick Cheese,rosé - Tempranillo,27,0.77
ADL Brick Cheese,white - Albariño,19,0.54
ADL Brick Cheese,white - Chardonnay,27,0.77
ADL Brick Cheese,white - Chenin Blanc,27,0.77
ADL Brick Cheese,white - Gewürztraminer,21,0.6
ADL Brick Cheese,white - Moscato,27,0.77
ADL Brick Cheese,white - Pinot Grigio,25,0.71
ADL Brick Cheese,white - Riesling,23,0.66
ADL Brick Cheese,white - Sauvignon Blanc,23,0.66
ADL Brick Cheese,white - Vermentino,25,0.71
ADL Brick Cheese,white - Viognier,27,0.77
ADL Mild Cheddar,port - Gouveio,22,0.63
ADL Mild Cheddar,port - Malvasia Fina,22,0.63
ADL Mild Cheddar,port - Sousão,19,0.54
ADL Mild Cheddar,port - Tempranillo,26,0.74
ADL Mild Cheddar,port - Tinta Amarela,26,0.74
ADL Mild Cheddar,port - Tinta Barroca,19,0.54
ADL Mild Cheddar,port - Tinta Cão,19,0.54
ADL Mild Cheddar,port - Touriga Franca,23,0.66
ADL Mild Cheddar,port - Touriga Nacional,19,0.54
ADL Mild Cheddar,port - Viosinho,22,0.63
ADL Mild Cheddar,red - Cabernet Sauvignon,26,0.74
ADL Mild Cheddar,red - Carménère,26,0.74
ADL Mild Cheddar,red - Malbec,19,0.54
ADL Mild Cheddar,red - Merlot,26,0.74
ADL Mild Cheddar,red - Pinot Noir,26,0.74
ADL Mild Cheddar,red - Shiraz,27,0.77
ADL Mild Cheddar,red - Tempranillo,19,0.54
ADL Mild Cheddar,rosé - Cinsault,22,0.63
ADL Mild Cheddar,rosé - Grenache,26,0.74
ADL Mild Cheddar,rosé - Malbec,19,0.54
ADL Mild Cheddar,rosé - Merlot,26,0.74
ADL Mild Cheddar,rosé - Mourvèdre,20,0.57
ADL Mild Cheddar,rosé - Pinot Noir,26,0.74
ADL Mild Cheddar,rosé - Sangiovese,26,0.74
ADL Mild Cheddar,rosé - Shiraz,26,0.74
ADL Mild Cheddar,rosé - Tempranillo,26,0.74
ADL Mild Cheddar,white - Albariño,20,0.57
ADL Mild Cheddar,white - Chardonnay,26,0.74
ADL Mild Cheddar,white - Chenin Blanc,27,0.77
ADL Mild Cheddar,white - Gewürztraminer,22,0.63
ADL Mild Cheddar,white - Moscato,26,0.74
ADL Mild Cheddar,white - Pinot Grigio,23,0.66
ADL Mild Cheddar,white - Riesling,24,0.69
ADL Mild Cheddar,white - Sauvignon Blanc,24,0.69
ADL Mild Cheddar,white - Vermentino,22,0.63
ADL Mild Cheddar,white - Viognier,26,0.74
Aarewasser,port - Gouveio,25,0.71
Aarewasser,port - Malvasia Fina,25,0.71
Aarewasser,port - Sousão,24,0.69
Aarewasser,port - Tempranillo,28,0.8
Aarewasser,port - Tinta Amarela,28,0.8
Aarewasser,port - Tinta Barroca,24,0.69
Aarewasser,port - Tinta Cão,24,0.69
Aarewasser,port - Touriga Franca,28,0.8
Aarewasser,port - Touriga Nacional,24,0.69
Aarewasser,port - Viosinho,25,0.71
Aarewasser,red - Cabernet Sauvignon,25,0.71
Aarewasser,red - Carménère,27,0.77
Aarewasser,red - Malbec,24,0.69
Aarewasser,red - Merlot,25,0.71
Aarewasser,red - Pinot Noir,28,0.8
Aarewasser,red - Shiraz,24,0.69
Aarewasser,red - Tempranillo,22,0.63
Aarewasser,rosé - Cinsault,25,0.71
Aarewasser,rosé - Grenache,28,0.8
Aarewasser,rosé - Malbec,24,0.69
Aarewasser,rosé - Merlot,28,0.8
Aarewasser,rosé - Mourvèdre,23,0.66
Aarewasser,rosé - Pinot Noir,25,0.71
Aarewasser,rosé - Sangiovese,25,0.71
Aarewasser,rosé - Shiraz,27,0.77
Aarewasser,rosé - Tempranillo,27,0.77
Aarewasser,white - Albariño,24,0.69
Aarewasser,white - Chardonnay,25,0.71
Aarewasser,white - Chenin Blanc,25,0.71
Aarewasser,white - Gewürztraminer,25,0.71
Aarewasser,white - Moscato,28,0.8
Aarewasser,white - Pinot Grigio,28,0.8
Aarewasser,white - Riesling,25,0.71
Aarewasser,white - Sauvignon Blanc,25,0.71
Aarewasser,white - Vermentino,24,0.69
Aarewasser,white - Viognier,28,0.8
Abbaye de Belloc,port - Gouveio,24,0.69
Abbaye de Belloc,port - Malvasia Fina,24,0.69
Abbaye de Belloc,port - Sousão,23,0.66
Abbaye de Belloc,port - Tempranillo,26,0.74
Abbaye de Belloc,port - Tinta Amarela,26,0.74
Abbaye de Belloc,port - Tinta Barroca,23,0.66
Abbaye de Belloc,port - Tinta Cão,23,0.66
Abbaye de Belloc,port - Touriga Franca,25,0.71
Abbaye de Belloc,port - Touriga Nacional,23,0.66
Abbaye de Belloc,port - Viosinho,24,0.69
Abbaye de Belloc,red - Cabernet Sauvignon,26,0.74
Abbaye de Belloc,red - Carménère,26,0.74
Abbaye de Belloc,red - Malbec,23,0.66
Abbaye de Belloc,red - Merlot,26,0.74
Abbaye de Belloc,red - Pinot Noir,26,0.74
Abbaye de Belloc,red - Shiraz,24,0.69
Abbaye de Belloc,red - Tempranillo,21,0.6
Abbaye de Belloc,rosé - Cinsault,22,0.63
Abbaye de Belloc,rosé - Grenache,26,0.74
Abbaye de Belloc,rosé - Malbec,23,0.66
Abbaye de Belloc,rosé - Merlot,26,0.74
Abbaye de Belloc,rosé - Mourvèdre,24,0.69
Abbaye de Belloc,rosé - Pinot Noir,26,0.74
Abbaye de Belloc,rosé - Sangiovese,26,0.74
Abbaye de Belloc,rosé - Shiraz,26,0.74
Abbaye de Belloc,rosé - Tempranillo,26,0.74
Abbaye de Belloc,white - Albariño,24,0.69
Abbaye de Belloc,white - Chardonnay,26,0.74
Abbaye de Belloc,white - Chenin Blanc,26,0.74
Abbaye de Belloc,white - Gewürztraminer,24,0.69
Abbaye de Belloc,white - Moscato,26,0.74
Abbaye de Belloc,white - Pinot Grigio,25,0.71
Abbaye de Belloc,white - Riesling,24,0.69
Abbaye de Belloc,white - Sauvignon Blanc,24,0.69
Abbaye de Belloc,white - Vermentino,23,0.66
Abbaye de Belloc,white - Viognier,26,0.74
Abbaye de Belval,port - Gouveio,24,0.69
Abbaye de Belval,port - Malvasia Fina,24,0.69
Abbaye de Belval,port - Sousão,23,0.66
Abbaye de Belval,port - Tempranillo,26,0.74
Abbaye de Belval,port - Tinta Amarela,26,0.74
Abbaye de Belval,port - Tinta Barroca,23,0.66
Abbaye de Belval,port - Tinta Cão,23,0.66
Abbaye de Belval,port - Touriga Franca,25,0.71
Abbaye de Belval,port - Touriga Nacional,23,0.66
